,budget,country,genre,gross,rating,score,votes,ROI,star_names,studio_names
0,237000000.0,non-USA,Action,760507625.0,PG,7.8,958400,1,Famous,Top_Studio
1,150000000.0,USA,Action,652270625.0,PG,7.0,470625,1,Famous,Top_Studio
2,200000000.0,USA,Drama,658672302.0,PG,7.8,865551,1,Famous,Top_Studio
3,220000000.0,USA,Action,623357910.0,PG,8.1,1069292,1,Famous,Top_Studio
4,115000000.0,USA,Action,474544677.0,PG,6.5,587113,1,Famous,Top_Studio
5,185000000.0,USA,Action,534858444.0,PG,9.0,1845853,1,Famous,Top_Studio
6,30000000.0,USA,Drama,370782930.0,R,7.2,189777,1,Famous,Top_Studio
7,63000000.0,USA,Others,402453882.0,PG,8.1,687813,1,Famous,Top_Studio
8,200000000.0,USA,Action,532177324.0,PG,7.9,366803,1,Famous,Top_Studio
9,78000000.0,USA,Others,408010692.0,PG,7.2,751734,1,Famous,Top_Studio
10,58000000.0,USA,Action,363070709.0,R,8.0,670760,1,Famous,Top_Studio
11,130000000.0,USA,Action,424668047.0,PG,7.6,538184,1,Famous,Top_Studio
12,76000000.0,USA,Others,368061265.0,PG,7.4,315528,1,Famous,Top_Studio
13,58800000.0,USA,Action,350126372.0,R,7.3,364398,1,Famous,Top_Studio
14,94000000.0,USA,Others,380843261.0,PG,8.1,774469,1,Famous,Top_Studio
15,150000000.0,USA,Others,436471036.0,PG,7.2,344003,1,Famous,Top_Studio
16,11000000.0,non-USA,Others,295983305.0,PG,7.7,370003,1,Famous,Top_Studio
17,55000000.0,USA,Comedy,330252182.0,PG,8.8,1407247,1,Famous,Top_Studio
18,45000000.0,USA,Others,312900000.0,PG,8.5,726051,1,Famous,Top_Studio
19,113000000.0,USA,Action,380262555.0,PG,7.6,572131,1,Famous,Top_Studio
20,139000000.0,USA,Action,403706375.0,PG,7.3,589626,1,Famous,Top_Studio
21,74000000.0,USA,Others,336045770.0,PG,6.4,169878,1,Famous,Top_Studio
22,125000000.0,USA,Others,381011219.0,PG,8.1,611380,1,Famous,Top_Studio
23,40000000.0,USA,Drama,293506292.0,PG,8.1,770343,1,Famous,Top_Studio
24,150000000.0,USA,Others,400738009.0,PG,7.5,466249,1,Famous,Top_Studio
25,50000000.0,USA,Others,296623634.0,PG,4.6,233489,1,Famous,Top_Studio
26,5000000.0,non-USA,Comedy,241438208.0,PG,6.6,108378,1,Famous,Top_Studio
27,68000000.0,USA,Others,300531751.0,PG,4.9,196734,1,Famous,Top_Studio
28,75000000.0,USA,Action,306169255.0,PG,7.0,462773,1,Famous,Top_Studio
29,29000000.0,USA,Others,255959475.0,PG,7.7,243667,1,Famous,Top_Studio
30,93000000.0,non-USA,Others,315544750.0,PG,8.8,1357943,1,Famous,Top_Studio
31,35000000.0,USA,Action,251188924.0,PG,7.6,290286,1,Famous,Top_Studio
32,200000000.0,USA,Others,415004880.0,PG,8.3,605687,1,Famous,Top_Studio
33,125000000.0,USA,Action,337135885.0,PG,6.7,343262,1,Famous,Top_Studio
34,200000000.0,non-USA,Action,409013994.0,PG,7.2,608085,1,Famous,Top_Studio
35,250000000.0,USA,Action,459005868.0,PG,7.4,540298,1,Famous,Top_Studio
36,200000000.0,USA,Action,402111870.0,PG,6.0,345057,1,Famous,Top_Studio
37,80000000.0,USA,Comedy,279261160.0,PG,6.3,224530,1,Famous,Top_Studio
38,225000000.0,USA,Action,423315812.0,PG,7.3,570136,1,Famous,Top_Studio
39,250000000.0,non-USA,Action,448139099.0,PG,8.4,1259109,1,Famous,Top_Studio
40,115000000.0,USA,Action,310675583.0,PG,6.6,512309,1,Famous,Top_Studio
41,22000000.0,USA,Drama,217631306.0,PG,7.0,165432,1,Famous,Top_Studio
42,25000000.0,USA,Comedy,219200000.0,PG,6.9,199476,1,Famous,Top_Studio
43,25000000.0,USA,Others,218967620.0,PG,8.0,346067,1,Famous,Top_Studio
44,125000000.0,non-USA,Others,317575550.0,PG,7.5,501811,1,Famous,Top_Studio
45,150000000.0,USA,Others,341268248.0,PG,8.0,318519,1,Famous,Top_Studio
46,28000000.0,USA,Others,217350219.0,PG,8.0,288121,1,Famous,Top_Studio
47,175000000.0,non-USA,Others,364001123.0,PG,7.5,209805,1,Famous,Top_Studio
48,69000000.0,USA,Others,251513985.0,PG,7.7,424100,1,Famous,Top_Studio
49,175000000.0,USA,Others,356461711.0,PG,8.2,441406,1,Famous,Top_Studio
50,140000000.0,USA,Action,318412101.0,PG,7.9,759215,1,Famous,Top_Studio
51,80000000.0,USA,Comedy,254464305.0,R,6.5,403896,1,Not-Famous,Low-Studio
52,100000000.0,non-USA,Drama,274092705.0,PG,7.8,640863,1,Not-Famous,Low-Studio
53,200000000.0,USA,Action,373585825.0,PG,7.3,453462,1,Not-Famous,Low-Studio
54,33000000.0,USA,Action,206040086.0,PG,6.6,192019,1,Not-Famous,Low-Studio
